,id,time,open,high,low,close,volume,ranges,MA7,MA25,MA99,upperBB,lowerBB
323,324,2020-07-28,11047.6,11270,10580,10919.9,499487,690,10038.7,9459.24,9214.22,10462.5,8455.98
324,325,2020-07-29,10919.9,11364.8,10844.3,11113,356189,520.46,10266.5,9538.27,9257.4,10729.5,8347.03
325,326,2020-07-30,11113,11195.5,10826.5,11112,230328,368.97,10481.9,9619.88,9297.72,10949.5,8290.29
326,327,2020-07-31,11112,11450.4,10971.8,11343.7,307400,478.64,10739.6,9700.04,9336.71,11191.1,8209
327,328,2020-08-01,11343.7,11887.5,11201,11811.4,386323,686.45,11041,9802.16,9380.22,11502.2,8102.09
328,329,2020-08-02,11811.4,12154.2,10490,11079.7,492803,1664.25,11203.9,9867.9,9416.04,11634.8,8101.01
329,330,2020-08-03,11080.7,11483,10923,11227.1,238655,560,11229.5,9947.53,9451.72,11774.3,8120.81
330,331,2020-08-04,11227.1,11427.4,11025,11200,200045,402.38,11269.6,10024,9486.33,11895.2,8152.75
331,332,2020-08-05,11200.1,11798.6,11103,11752.5,263510,695.56,11360.9,10124.8,9526.9,12087.7,8161.83
332,333,2020-08-06,11752.5,11916,11571.8,11770.6,236460,344.24,11455,10223.6,9557.07,12260.9,8186.23
333,334,2020-08-07,11770,11920,11318.9,11596.1,273935,601.07,11491.1,10317.8,9587.08,12383.4,8252.11
334,335,2020-08-08,11596.3,11819,11513.7,11765.7,154707,305.31,11484.5,10418.2,9616.73,12512.4,8324
335,336,2020-08-09,11765.7,11811,11526.9,11686,125463,284.1,11571.1,10517.8,9644.11,12606.7,8428.77
336,337,2020-08-10,11686,12100,11384.9,11896.9,290418,715.1,11666.8,10628.4,9674.38,12704.4,8552.34
337,338,2020-08-11,11896.9,11944,11127,11392.6,336862,817,11694.3,10718,9699.82,12720.6,8715.42
338,339,2020-08-12,11392.6,11630,11140,11568.4,213799,490,11668,10813.9,9725.54,12735.9,8891.86
339,340,2020-08-13,11568.4,11798,11272,11790,248215,526,11670.8,10917,9752.22,12755.5,9078.54
340,341,2020-08-14,11790,11868.4,11644.6,11767.9,159020,223.82,11695.4,11021.3,9770.13,12736.4,9306.21
341,342,2020-08-15,11767.9,11993.6,11682,11859,222263,311.58,11708.7,11120.1,9790.85,12724.3,9516.02
